instance_id,population_size,max_iterations,weight,c1,c2,vmax,makespan,execution_time
0,20,50,0.7,1.5,1.5,0.5,3112,2.4474830627441406
0,20,50,0.7,1.5,2.0,0.25,3091,2.430494785308838
0,20,50,0.7,1.5,1.5,0.25,3072,2.535429000854492
0,20,50,0.7,1.5,2.0,0.5,3098,2.422499418258667
0,20,50,0.7,2.0,1.5,0.25,3124,2.0877063274383545
0,20,50,0.7,2.0,1.5,0.5,3124,2.136676073074341
0,20,50,0.7,2.0,2.0,0.25,2989,2.196639060974121
0,20,50,0.7,2.0,2.0,0.5,3094,2.096700668334961
0,20,50,0.9,1.5,1.5,0.25,3105,2.793269395828247
0,20,50,0.9,1.5,1.5,0.5,3460,2.7243125438690186
0,20,50,0.9,1.5,2.0,0.25,3194,2.85123348236084
0,20,50,0.9,1.5,2.0,0.5,3470,3.030123710632324
0,20,50,0.9,2.0,1.5,0.25,3188,3.1880252361297607
0,20,50,0.9,2.0,1.5,0.5,3309,3.1820285320281982
0,20,50,0.9,2.0,2.0,0.25,3109,3.0171308517456055
0,20,50,0.9,2.0,2.0,0.5,3344,3.005139112472534
0,20,100,0.7,1.5,1.5,0.25,2964,4.47722601890564
0,20,100,0.7,1.5,1.5,0.5,3244,4.475228786468506
0,20,100,0.7,1.5,2.0,0.25,3052,4.440249443054199
0,20,100,0.7,1.5,2.0,0.5,3107,4.428255796432495
0,20,100,0.7,2.0,1.5,0.5,3086,5.799407720565796
0,20,100,0.7,2.0,1.5,0.25,3210,5.966305494308472
0,20,100,0.7,2.0,2.0,0.25,3064,5.98429274559021
0,20,100,0.7,2.0,2.0,0.5,3235,5.819395303726196
0,20,100,0.9,1.5,1.5,0.25,3098,5.282727003097534
0,20,100,0.9,1.5,1.5,0.5,3245,5.367674350738525
0,20,100,0.9,1.5,2.0,0.25,3113,5.287724256515503
0,20,100,0.9,1.5,2.0,0.5,3183,5.293720483779907
0,20,100,0.9,2.0,1.5,0.25,3059,5.714459419250488
0,20,100,0.9,2.0,1.5,0.5,3295,5.632511377334595
0,20,100,0.9,2.0,2.0,0.25,3137,5.615522384643555
0,20,100,0.9,2.0,2.0,0.5,3243,5.569548606872559
0,20,150,0.7,1.5,1.5,0.25,2978,7.498354911804199
