instance_id,population_size,max_iterations,weight,c1,c2,vmax,makespan,execution_time
0,20,50,0.7,1.5,1.5,0.5,2411,2.3305561542510986
0,20,50,0.7,1.5,1.5,0.25,2424,2.4194986820220947
0,20,50,0.7,1.5,2.0,0.25,2336,2.300575017929077
0,20,50,0.7,1.5,2.0,0.5,2311,2.322563409805298
0,20,50,0.7,2.0,1.5,0.5,2425,1.7069427967071533
0,20,50,0.7,2.0,1.5,0.25,2393,1.7559127807617188
0,20,50,0.7,2.0,2.0,0.5,2310,1.6479785442352295
0,20,50,0.7,2.0,2.0,0.25,2264,1.6919500827789307
0,20,50,0.9,1.5,1.5,0.25,2321,1.5740234851837158
0,20,50,0.9,1.5,1.5,0.5,2383,1.5700275897979736
0,20,50,0.9,1.5,2.0,0.5,2357,1.6909527778625488
0,20,50,0.9,1.5,2.0,0.25,2377,1.7139379978179932
0,20,50,0.9,2.0,1.5,0.5,2401,2.1026976108551025
0,20,50,0.9,2.0,1.5,0.25,2376,2.1766514778137207
0,20,50,0.9,2.0,2.0,0.25,2302,2.0537240505218506
0,20,50,0.9,2.0,2.0,0.5,2406,2.0737133026123047
0,20,100,0.7,1.5,1.5,0.25,2362,3.6007697582244873
0,20,100,0.7,1.5,2.0,0.5,2420,3.5108296871185303
0,20,100,0.7,1.5,1.5,0.5,2339,3.6527364253997803
0,20,100,0.7,1.5,2.0,0.25,2307,3.6127614974975586
0,20,100,0.7,2.0,1.5,0.25,2343,3.3169450759887695
0,20,100,0.7,2.0,2.0,0.25,2317,3.23199725151062
0,20,100,0.7,2.0,1.5,0.5,2220,3.2579832077026367
0,20,100,0.7,2.0,2.0,0.5,2324,3.2949583530426025
0,20,100,0.9,1.5,1.5,0.25,2247,4.405271053314209
0,20,100,0.9,1.5,1.5,0.5,2442,4.467232704162598
0,20,100,0.9,1.5,2.0,0.25,2404,4.551183462142944
0,20,100,0.9,1.5,2.0,0.5,2399,4.4852211475372314
0,20,100,0.9,2.0,1.5,0.25,2238,3.689714193344116
0,20,100,0.9,2.0,1.5,0.5,2413,3.747678756713867
0,20,100,0.9,2.0,2.0,0.5,2490,3.719696044921875
0,20,100,0.9,2.0,2.0,0.25,2333,3.808640241622925
0,20,150,0.7,1.5,1.5,0.5,2374,6.101221323013306
0,20,150,0.7,1.5,1.5,0.25,2310,6.422022819519043
0,20,150,0.7,1.5,2.0,0.25,2151,6.227142095565796
0,20,150,0.7,1.5,2.0,0.5,2325,6.255125284194946
0,20,150,0.7,2.0,2.0,0.25,2144,6.146190643310547
0,20,150,0.7,2.0,1.5,0.25,2296,6.369054794311523
0,20,150,0.7,2.0,1.5,0.5,2384,6.23114013671875
0,20,150,0.7,2.0,2.0,0.5,2392,6.139196395874023
0,20,150,0.9,1.5,2.0,0.25,2349,4.615141868591309
